hhcode,year,location,expenditure,food,micro,education1,education2,health,diversity,stunting,wasting,schooling,enrolled,illness1,illness2,treated,head_age,elderly,head_sex,head_married,head_educ,head_sick,ovc,hhsize,age_5under,age_0617,age_1834,age_3549,age_5064,depend_ratio,sex_ratio,adult_educ,non_active,initial_exp,agriculture,salaried,casual,self,transfers,rooms,land,livestock,water,bike,radio,phone,mosquito,road,market,communication,electricity,district1,district2,district3,district4,district5,district6,sample_nutrition,sample_education
101000043,0,101,3167.433,2251.6,606.2,45.83333,641.6667,0,5,1.506427,-1.370698,2.408932,100,100,75,1,58,0,1,0,0,1,1,4,1,2,0,0,1,.75,.75,0,1,3167.433,0,0,1,0,0,2,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000043,1,101,6765.005,4674.281,1536.024,229.3578,10.19368,132.5178,9,,4.331911,1.806832,100,97.85714,80,1,58,0,1,0,0,1,1,4,1,2,0,0,1,.75,.75,0,1,3167.433,0,0,1,0,0,2,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000046,0,101,7650.5,3680.5,649.5,225,141.6667,600,7,,,.359607,100,83.56345,0,1,42,0,0,0,12,1,1,2,0,1,0,1,0,.5,0,1,0,7650.5,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000046,1,101,12826.1,5429.052,635.5963,9.174312,186.0347,65.23955,8,,,-1.009296,100,98.80952,66.66667,1,42,0,0,0,12,1,1,2,0,1,0,1,0,.5,0,1,0,7650.5,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000047,0,101,8738.71,1892.21,588.88,0,833.1667,0,8,,,1.029011,100,100,100,1,42,0,1,0,10,0,1,2,0,1,0,1,0,.5,.5,1,0,8738.71,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000047,1,101,6938.817,3998.96,900.4281,713.5576,71.35576,101.9368,8,,,.3413426,100,100,50,1,42,0,1,0,10,0,1,2,0,1,0,1,0,.5,.5,1,0,8738.71,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000049,0,101,5807.947,1801.28,433,250,166.6667,13.33333,7,,,.8443372,100,72.76228,57.14286,1,55,0,1,0,0,1,4,7,0,4,1,1,1,.5714286,.5714286,1,3,5807.947,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000049,1,101,9500.069,2690.691,556.1468,371.05,177.37,203.8736,6,,,.2550043,100,64.88095,16.66667,1,55,0,1,0,0,1,4,7,0,4,1,1,1,.5714286,.5714286,1,3,5807.947,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000050,0,101,13443.79,8937.12,3139.25,1125,108.3333,0,11,-.7522268,-.6763849,-.2745962,100,80.27613,83.33333,1,76,1,0,1,0,1,2,6,1,1,2,0,1,.5,.5,0,2,13443.79,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1
101000050,1,101,12567.66,8644.11,1853.823,101.9368,50.9684,14.27115,6,-4.373561,1.444902,.3846182,100,92.85714,62.5,1,76,1,0,1,0,1,2,6,1,1,2,0,1,.5,.5,0,2,13443.79,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1
101000051,0,101,7694.063,2515.73,909.3,62.5,375,200,6,,,.7503743,100,100,100,1,33,0,0,0,6,0,2,3,1,1,1,0,0,.6666667,0,0,1,7694.063,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000051,1,101,,,,,,,,,,,,,,1,33,0,0,0,6,0,2,3,1,1,1,0,0,.6666667,0,0,1,7694.063,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000052,0,101,18112.07,9002.07,4884.24,2625,1341.667,1000,10,,,.7598536,100,88.49442,75,1,45,0,0,0,5,1,2,4,0,2,1,1,0,.5,.25,1,1,18112.07,1,0,0,0,0,3,.25,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
101000052,1,101,27730.3,14009.6,5243.67,1019.368,1019.368,713.5576,12,,,1.949823,100,97.61905,66.66667,1,45,0,0,0,5,1,2,4,0,2,1,1,0,.5,.25,1,1,18112.07,1,0,0,0,0,3,.25,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
101000053,0,101,13416.97,4801.97,1472.2,533.3333,625,5000,10,,,2.881993,100,60.55227,60,1,63,0,1,0,4,0,2,5,0,2,2,0,1,.4,.4,2,3,13416.97,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1
101000053,1,101,8664.21,7163.701,529.6636,1253.823,0,0,8,,,2.564593,100,80,80,1,63,0,1,0,4,0,2,5,0,2,2,0,1,.4,.4,2,3,13416.97,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1
101000054,0,101,17404.12,10448.29,3160.9,100,119.1667,6.666667,10,-1.402241,.5379548,.6537896,50,97.26057,91.66667,1,44,0,1,0,7,0,4,13,1,6,4,1,1,.5384616,.3846154,1,6,17404.12,0,0,0,0,0,3,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1
101000054,1,101,5544.791,4714.006,609.1132,40.77472,86.64629,0,9,1.601804,-.8677293,-.2615652,100,97.32143,75,1,44,0,1,0,7,0,4,13,1,6,4,1,1,.5384616,.3846154,1,6,17404.12,0,0,0,0,0,3,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1
101000056,0,101,1696.827,1524.16,433,0,45,6.666667,6,-3.042848,.2772866,-.6310086,100,100,100,1,43,0,0,1,7,0,0,4,1,1,0,2,0,.5,.25,0,2,1696.827,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
